run_id,stage,arm,instance,K0,rho,rho_explicit,executable_sha256,process_cap_seconds,status,certificate,strict_rejection_reason,failure_reason,time_seconds,work,lower_bound,verified_upper_bound,relative_gap,split_count,initial_interval_count,final_interval_count,lp_jobs,native_target_jobs,terminal_mip_jobs,nodes,peak_memory_gb,completion_marker,watchdog_timeout,lb_300,ub_300,gap_300,gi_300,lb_1200,ub_1200,gap_1200,gi_1200,lb_1800,ub_1800,gap_1800,gi_1800
stage3_300s__moderate_seed3301__K4-r050,stage3_300s,K4-r050,moderate_seed3301,4,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0287522,444.2840813660499,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,4,5,8,3,1,5715.0,0.160552829,True,False,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24201407917361878,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.1447600694978243,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13395406842273602
stage3_300s__moderate_seed3301__P-GRB,stage3_300s,P-GRB,moderate_seed3301,,,False,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,time_limit,False,model_fingerprint_mismatch;unsupported_strict_status:TIME_LIMIT,,280.0437977,470.12910941843893,0.048388162833931284,0.04952337284115889,0.022922711885328854,0,0,0,0,0,0,40608.0,0.110007517,True,False,0.048388162833931284,0.04952337284115889,0.022922711885328854,0.056056166835141426,0.048388162833931284,0.04952337284115889,0.022922711885328854,0.031206075622782,0.048388162833931284,0.04952337284115889,0.022922711885328854,0.02844495437696428
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r001,stage3_300s,K1-r001,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,22.3497744,31.69166292110626,0.021337006039780566,0.021337006039780566,0.0,2,1,3,9,2,2,88.0,0.116272916,True,False,0.021337006039780566,0.021337006039780566,0.0,0.02767922248764095,0.021337006039780566,0.021337006039780566,0.0,0.006919805621910237,0.021337006039780566,0.021337006039780566,0.0,0.004613203747940158
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r012,stage3_300s,K1-r012,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,18.9932261,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,1,1,3,1,1,44.0,0.122623215,True,False,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.029736211324712703,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007434052831178176,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.004956035220785451
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r015,stage3_300s,K1-r015,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,18.9608159,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,1,1,3,1,1,44.0,0.122623215,True,False,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.029668221419545143,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007417055354886286,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.004944703569924191
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r020,stage3_300s,K1-r020,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,18.754862,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,1,1,3,1,1,44.0,0.122623215,True,False,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.02896767265934167,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007241918164835418,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.004827945443223612
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r050,stage3_300s,K1-r050,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,19.1140115,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,1,1,3,1,1,44.0,0.122623215,True,False,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.029958852457144816,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007489713114286204,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.004993142076190803
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r001,stage3_300s,K4-r001,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,31.1916965,47.3035471806965,0.021337006039780566,0.021337006039780566,0.0,1,4,5,12,4,3,146.0,0.127423686,True,False,0.021337006039780566,0.021337006039780566,0.0,0.030521265094880103,0.021337006039780566,0.021337006039780566,0.0,0.007630316273720026,0.021337006039780566,0.021337006039780566,0.0,0.00508687751581335
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r012,stage3_300s,K4-r012,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,26.2094771,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,4,4,8,3,2,102.0,0.116608509,True,False,0.021337006039780566,0.021337006039780566,0.0,0.03061185370764917,0.021337006039780566,0.021337006039780566,0.0,0.0076529634269122924,0.021337006039780566,0.021337006039780566,0.0,0.005101975617941528
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r015,stage3_300s,K4-r015,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,25.8180866,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,4,4,8,3,2,102.0,0.116608509,True,False,0.021337006039780566,0.021337006039780566,0.0,0.02950745058990479,0.021337006039780566,0.021337006039780566,0.0,0.007376862647476197,0.021337006039780566,0.021337006039780566,0.0,0.004917908431650798
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r020,stage3_300s,K4-r020,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,26.2298343,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,4,4,8,3,2,102.0,0.116608509,True,False,0.021337006039780566,0.021337006039780566,0.0,0.03065522805084724,0.021337006039780566,0.021337006039780566,0.0,0.00766380701271181,0.021337006039780566,0.021337006039780566,0.0,0.005109204675141207
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r050,stage3_300s,K4-r050,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,25.9812257,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,4,4,8,3,2,102.0,0.116608509,True,False,0.021337006039780566,0.021337006039780566,0.0,0.029858841329131747,0.021337006039780566,0.021337006039780566,0.0,0.007464710332282937,0.021337006039780566,0.021337006039780566,0.0,0.004976473554855291
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__P-GRB,stage3_300s,P-GRB,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,,,False,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,,6.7224734,2.080721906744143,0.02133700603978057,0.021337006039780566,0.0,0,0,0,0,0,0,1086.0,0.017213571,True,False,0.02133700603978057,0.021337006039780566,0.0,0.0018214966662845784,0.02133700603978057,0.021337006039780566,0.0,0.0004553741665711446,0.02133700603978057,0.021337006039780566,0.0,0.0003035827777140964
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r001,stage3_300s,K1-r001,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,1.6803845,1.134686710044508,0.8585174613256055,0.8585174613256055,0.0,2,1,3,7,2,1,2.0,0.011590516,True,False,0.8585174613256055,0.8585174613256055,0.0,0.001873807248612922,0.8585174613256055,0.8585174613256055,0.0,0.0004684518121532305,0.8585174613256055,0.8585174613256055,0.0,0.0003123012081021537
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r012,stage3_300s,K1-r012,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,1.4786304,0.9381473408644397,0.8585174613256094,0.8585174613256055,0.0,0,1,1,3,1,1,2.0,0.013480743,True,False,0.8585174613256094,0.8585174613256055,0.0,0.0019501885063752306,0.8585174613256094,0.8585174613256055,0.0,0.00048754712659380766,0.8585174613256094,0.8585174613256055,0.0,0.0003250314177292051
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r015,stage3_300s,K1-r015,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,1.4733104,0.9381473408644397,0.8585174613256094,0.8585174613256055,0.0,0,1,1,3,1,1,2.0,0.013480743,True,False,0.8585174613256094,0.8585174613256055,0.0,0.0019395233197484815,0.8585174613256094,0.8585174613256055,0.0,0.00048488082993712036,0.8585174613256094,0.8585174613256055,0.0,0.0003232538866247469
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r020,stage3_300s,K1-r020,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,optimal,True,none,none,1.4615833,0.9381473408644397,0.8585174613256094,0.8585174613256055,0.0,0,1,1,3,1,1,2.0,0.013480743,True,False,0.8585174613256094,0.8585174613256055,0.0,0.0019196858445984406,0.8585174613256094,0.8585174613256055,0.0,0.00047992146114961016,0.8585174613256094,0.8585174613256055,0.0,0.0003199476407664068
