run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r050,stage3_300s,K1-r050,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471163029866588,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r001,stage3_300s,K4-r001,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471162753807069,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r012,stage3_300s,K4-r012,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471162753807069,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r015,stage3_300s,K4-r015,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471162753807069,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r020,stage3_300s,K4-r020,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471162753807069,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r050,stage3_300s,K4-r050,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471162753807069,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__P-GRB,stage3_300s,P-GRB,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,time_limit,False,True,False,0.4048954790389825,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r001,stage3_300s,K1-r001,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.4252011336837254,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r012,stage3_300s,K1-r012,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.4252011336837254,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r015,stage3_300s,K1-r015,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.4252011336837254,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r020,stage3_300s,K1-r020,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.4252011336837254,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r050,stage3_300s,K1-r050,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.4252011336837254,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r001,stage3_300s,K4-r001,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,optimal,False,True,False,0.5063433075652044,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r012,stage3_300s,K4-r012,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,optimal,False,True,False,0.5063433075652044,0.506343307565206,True
