"instance","instance_scope","algorithm_preset","option_audit_consistent","option_audit_mismatches","column_tracks","rmp_column_space","relaxed_columns_in_rmp","pricing_engine","final_pricing_engine","large_instance_mode","station_set_backend","route_mask_all_subset_enumeration_enabled","incumbent_archive_auto","compact_fallback_enabled","relaxed_RMP_enabled","cplex_plain_baseline","cplex_seed_enabled","result_file"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_large-lb-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_large-relaxed-rmp-cg-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_large-relaxed-rmp-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_master.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_ng-dssr-pricing-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_ng-relaxed-closure-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_non-elementary-relaxed-column-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_operation-mode-branching-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_option-consistency-test.json"
,"smoke","paper-bpc-experimental","True","","two-track","two-track",,"hybrid",,"off","uint64","True",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_option_consistency_twotrack.json"
,"smoke","paper-bpc-core","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_paper_bpc_core.json"
,"smoke","paper-bpc-experimental","True","","two-track","two-track",,"hybrid",,"off","uint64","True",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_paper_bpc_experimental.json"
,"smoke","paper-exact-portfolio","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_paper_exact_portfolio.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pickup-drop-compat-flow-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pickup-drop-transfer-cap-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pricing-branch.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pricing-closure-audit-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pricing-verifier-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_pricing.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_projection-safe-relaxed-column-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_relaxed-column-incumbent-safety-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_relaxed-pricing-closure-test.json"
