run_id,algorithm,flow_variant,retained_event_sequence,callback_invocation_sequence,observation_time_seconds,scheduled_checkpoint_seconds,observation_age_seconds,fresh_observation,observation_source,callback_context,phase,native_deterministic_time,native_best_bound,native_incumbent,verified_same_run_ub,project_gap,native_cplex_gap,processed_nodes,open_nodes,native_solution_count,simplex_iterations,tree_memory_mb,gini_branch_count,ordinary_branch_count,current_open_gini_siblings,oldest_gini_sibling_delay_seconds,maximum_gini_sibling_delay_seconds,last_valid_lower_bound_improvement_time,first_incumbent_time,first_gini_branch_time,first_ordinary_branch_time,root_completion_time,model_rows,model_columns,model_nonzeros,executable_sha256,retention_trigger
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4624,9466,127.8735097,127.8735097,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,264682.74378395081,0.69597890357475256,,0.71850407075497091,0.031350089856206305,,7084,2103,,641885,,117,4483,13,123.73809249999999,123.73809249999999,127.8735097,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4625,9468,128.27906110000001,128.27906110000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265374.63548660278,0.69604852163843856,,0.71850407075497091,0.031253196788345407,,7093,2096,,643146,,117,4484,13,124.1436439,124.1436439,128.27906110000001,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4626,9470,128.2909459,128.2909459,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265428.65345001221,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7094,2097,,643369,,117,4485,13,124.15552869999999,124.15552869999999,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4627,9472,128.2919291,128.2919291,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265430.92158985138,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7095,2098,,643407,,117,4486,13,124.1565119,124.1565119,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4628,9474,128.2966997,128.2966997,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265445.43315219879,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7096,2099,,643408,,117,4487,13,124.1612825,124.1612825,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4629,9476,128.30055970000001,128.30055970000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265456.18192672729,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7097,2100,,643452,,117,4488,13,124.1651425,124.1651425,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4630,9478,128.30245170000001,128.30245170000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265462.1688785553,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7098,2101,,643488,,117,4489,13,124.1670345,124.1670345,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4631,9480,128.30385100000001,128.30385100000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265466.97805404663,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7099,2102,,643498,,117,4490,13,124.1684338,124.1684338,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4632,9482,128.30939169999999,128.30939169999999,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265482.07275772095,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7100,2103,,643502,,117,4491,13,124.17397449999999,124.17397449999999,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4633,9484,128.31617399999999,128.31617399999999,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265502.63032817841,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7101,2104,,643540,,117,4492,13,124.18075679999998,124.18075679999998,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
