leaf,variant,budget_seconds,lower_bound,plain_same_budget_lb,delta_vs_plain_lb,gap_to_cutoff,subset_cross_h_rows,local_q_rows,compatible_source_transfer_rows,required_external_source_rows,local_centering_rows,l1_centering_rows,variable_s_rows,paper_safe
low_gini_1,callback_compatible_source_transfer,60,0.0467627329577,0.044318362677,0.0024443702806999992,0.0023898197070000016,0,0,0,0,0,41,0,True
low_gini_1,callback_compatible_source_transfer,300,0.048388162834,0.045486706017,0.002901456816999999,0.0007643898306999991,0,0,0,0,0,41,0,True
low_gini_1,callback_required_external_source,60,0.0466015325166,0.044318362677,0.002283169839600002,0.0025510201480999986,0,0,0,1,0,41,0,True
low_gini_1,callback_required_external_source,300,0.048388162834,0.045486706017,0.002901456816999999,0.0007643898306999991,0,0,0,1,0,41,0,True
low_gini_1,callback_full_gini_auto,60,0.0467573339767,0.044318362677,0.002438971299699999,0.0023952186880000018,0,0,0,0,0,41,0,True
low_gini_1,callback_full_gini_auto,300,0.048388162834,0.045486706017,0.002901456816999999,0.0007643898306999991,0,0,0,0,0,41,0,True
low_gini_1,callback_full_paced,60,0.0460810881734,0.044318362677,0.0017627254964000041,0.0030714644912999967,0,0,0,0,40,41,0,True
low_gini_1,callback_full_paced,300,0.0483363709352,0.045486706017,0.002849664918199997,0.0008161817295000012,0,0,0,0,40,41,0,True
low_gini_1,callback_s_bucket_diagnostic,60,0.0491525526647,0.044318362677,0.004834189987700001,0.0,2700,0,0,0,40,41,0,False
low_gini_1,callback_s_bucket_diagnostic,300,0.0491525526647,0.045486706017,0.003665846647699998,0.0,2700,0,0,0,40,41,0,False
low_gini_1,best_combined_paper_safe,60,0.0454217989606,0.044318362677,0.001103436283600004,0.003730753704099997,2700,20,0,1,40,41,0,True
low_gini_1,best_combined_paper_safe,300,0.0476339655828,0.045486706017,0.0021472595658000027,0.0015185870818999955,2700,20,0,1,40,41,0,True
low_gini_1,plain_fixed_interval_mip,1200,0.047523686728,0.047523686728,0.0,0.0016288659366999955,0,0,0,0,0,0,0,True
low_gini_1,callback_local_centering,1200,0.0487233640003,0.047523686728,0.0011996772722999982,0.0004291886643999973,0,0,0,0,40,41,0,True
low_gini_1,callback_subset_cross_h_centering,1200,0.048388162834,0.047523686728,0.0008644761059999964,0.0007643898306999991,2700,0,0,0,40,41,0,True
low_gini_1,callback_local_q_centering,1200,0.0487233640003,0.047523686728,0.0011996772722999982,0.0004291886643999973,0,20,0,0,0,41,0,True
low_gini_1,best_combined_paper_safe,1200,0.048388162834,0.047523686728,0.0008644761059999964,0.0007643898306999991,2700,20,0,1,40,41,0,True
low_gini_1,best_combined_paper_safe,3600,0.0487233640003,0.048296011756,0.00042735224430000274,0.0004291886643999973,2700,20,0,1,40,41,0,True
low_gini_1,plain_fixed_interval_mip,3600,0.048296011756,0.048296011756,0.0,0.0008565409087,0,0,0,0,0,0,0,True
low_gini_2,plain_fixed_interval_mip,300,0.048894652654,0.048894652654,0.0,0.0002579000107000018,0,0,0,0,0,0,0,True
low_gini_2,best_combined_paper_safe,300,0.0489209015481,0.048894652654,2.6248894100001918e-05,0.00023165111659999987,2700,20,0,3,40,41,0,True
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,2.1614881406,2.1614881406,0.0,0.28191505133999994,0,0,0,0,0,0,0,True
high_imbalance_seed3201_hard,best_combined_paper_safe,300,2.27667764295,2.1614881406,0.11518950235000025,0.1667255489899997,2700,20,0,0,40,41,0,True
tight_T_seed3102_hard,plain_fixed_interval_mip,300,0.31236602942,0.31236602942,0.0,0.28833840726499993,0,0,0,0,0,0,0,True
tight_T_seed3102_hard,best_combined_paper_safe,300,0.517898731718,0.31236602942,0.20553270229800003,0.0828057049669999,2700,20,0,0,40,41,0,True
moderate_seed3302_hard,plain_fixed_interval_mip,300,0.14433212622,0.14433212622,0.0,0.051304080328999996,0,0,0,0,0,0,0,True
moderate_seed3302_hard,best_combined_paper_safe,300,0.14256670012,0.14433212622,-0.0017654260999999949,0.05306950642899999,2700,20,0,0,40,41,0,True
