leaf,variant,budget_seconds,lp_hash,command_hash,json_path
low_gini_1,callback_compatible_source_transfer,60,b2fd9d679b1f3a49,ec4f44daec7a5f45,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_60s.json
low_gini_1,callback_compatible_source_transfer,300,b2fd9d679b1f3a49,f1aa36b745c1b221,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_300s.json
low_gini_1,callback_required_external_source,60,1990a9e62e499ec3,80b6d37b6893d38f,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_required_external_source_60s.json
low_gini_1,callback_required_external_source,300,1990a9e62e499ec3,19980812378934df,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_required_external_source_300s.json
low_gini_1,callback_full_gini_auto,60,b2fd9d679b1f3a49,4bf9e08539e2e41e,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_gini_auto_60s.json
low_gini_1,callback_full_gini_auto,300,b2fd9d679b1f3a49,d455f949e68eeeab,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_gini_auto_300s.json
low_gini_1,callback_full_paced,60,f17ee827e81d7ad7,63273406425c292a,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_paced_60s.json
low_gini_1,callback_full_paced,300,f17ee827e81d7ad7,2b0402a6d0433156,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_full_paced_300s.json
low_gini_1,callback_s_bucket_diagnostic,60,ae77a361d620e511,1995bc80aa071d85,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_s_bucket_diagnostic_60s.json
low_gini_1,callback_s_bucket_diagnostic,300,ae77a361d620e511,98c1303491c6ea1a,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_s_bucket_diagnostic_300s.json
low_gini_1,best_combined_paper_safe,60,b123a60387c38930,4ca4adce6e5c802f,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_60s.json
low_gini_1,best_combined_paper_safe,300,b123a60387c38930,c36fc8161a2f1ab1,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_300s.json
low_gini_1,plain_fixed_interval_mip,1200,3fa039d78c1b46af,9948072172d993ac,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_1200s.json
low_gini_1,callback_local_centering,1200,f17ee827e81d7ad7,ce2227de8b653c1d,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_1200s.json
low_gini_1,callback_subset_cross_h_centering,1200,5b122724f90b6c3a,8538b06cad78a51d,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_1200s.json
low_gini_1,callback_local_q_centering,1200,17e9afb901e19fda,0a303770a927cf77,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_1200s.json
low_gini_1,best_combined_paper_safe,1200,b123a60387c38930,f3a975138b3694a3,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_1200s.json
low_gini_1,best_combined_paper_safe,3600,b123a60387c38930,699ecad2159a53b4,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_3600s.json
low_gini_1,plain_fixed_interval_mip,3600,3fa039d78c1b46af,9c3b55ef8b5b871b,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_3600s.json
low_gini_2,plain_fixed_interval_mip,300,df7f1aa859c8801c,0ec0c8139cb9cd3f,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_2_plain_fixed_interval_mip_300s.json
low_gini_2,best_combined_paper_safe,300,c170e370e54aef39,ce23991dfaafad08,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_2_best_combined_paper_safe_300s.json
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,3ce64ca6b5d3730d,49104459257242cd,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json
high_imbalance_seed3201_hard,best_combined_paper_safe,300,7f6156a157f94aa1,199e09f743eb1ea9,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json
tight_T_seed3102_hard,plain_fixed_interval_mip,300,acf35ccda4df7df5,6aceee0b82bfb351,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json
tight_T_seed3102_hard,best_combined_paper_safe,300,5be5f3c8320c592c,531e5f136b71305c,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_tight_T_seed3102_hard_best_combined_paper_safe_300s.json
moderate_seed3302_hard,plain_fixed_interval_mip,300,814f939210f6d585,95f7985b0c89f483,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_moderate_seed3302_hard_plain_fixed_interval_mip_300s.json
moderate_seed3302_hard,best_combined_paper_safe,300,9849e51c2581e47a,4fbec9e4fec7dd1e,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_moderate_seed3302_hard_best_combined_paper_safe_300s.json
