run_id,instance,variant,solver_role,budget_seconds,process_start_time,process_end_time,actual_runtime_seconds,process_return_code,windows_return_code_hex,wrapper_timeout,resource_stopped,free_ram_start_bytes,free_ram_end_bytes,minimum_free_ram_bytes,peak_process_tree_rss_bytes,cplex_threads,mip_threads,compact_bc_threads,concurrent_solver_processes,max_cplex_process_count,background_solver_detected,fresh_process,memory_guard_policy,incumbent_source_policy,monitor_path,stdout_log_path,hostname,git_commit,build_sha256,result_package,fresh_run,source_round,certified_original_problem,bound_used_in_comparison
full__V12_M1__tailored_full_static_baseline__300s,V12_M1,tailored_full_static_baseline,tailored_full_frontier,300,2026-07-12T07:20:23+08:00,2026-07-12T07:24:02+08:00,218.218,0,0x00000000,False,False,18140925952,18126393344,17312886784,783679488,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__tailored_full_static_baseline__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__tailored_full_static_baseline__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M1__tailored_route_cutset_callback__300s,V12_M1,tailored_route_cutset_callback,tailored_full_frontier,300,2026-07-12T07:24:02+08:00,2026-07-12T07:29:04+08:00,301.607,0,0x00000000,False,False,18128953344,18144256000,17919557632,48431104,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__tailored_route_cutset_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__tailored_route_cutset_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M1__plain_cplex__300s,V12_M1,plain_cplex,plain_cplex,300,2026-07-12T07:29:04+08:00,2026-07-12T07:32:07+08:00,182.763,0,0x00000000,False,False,18150907904,18177847296,18111750144,65511424,1,1,0,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,benchmark_internal_incumbent_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__plain_cplex__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__plain_cplex__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__tailored_static_no_callback__300s,V12_M2,tailored_static_no_callback,tailored_full_frontier,300,2026-07-12T07:32:07+08:00,2026-07-12T07:35:29+08:00,201.528,0,0x00000000,False,False,18175684608,18104102912,17643368448,436039680,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__tailored_static_no_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__tailored_static_no_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__tailored_callback_telemetry_only__300s,V12_M2,tailored_callback_telemetry_only,tailored_full_frontier,300,2026-07-12T07:35:29+08:00,2026-07-12T07:38:50+08:00,201.489,0,0x00000000,False,False,18098630656,18101121024,17550045184,487669760,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__tailored_callback_telemetry_only__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__tailored_callback_telemetry_only__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__tailored_cheap_cuts__300s,V12_M2,tailored_cheap_cuts,tailored_full_frontier,300,2026-07-12T07:38:51+08:00,2026-07-12T07:42:14+08:00,203.408,0,0x00000000,False,False,18115792896,18109530112,17473875968,526454784,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__tailored_cheap_cuts__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__tailored_cheap_cuts__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__tailored_full_static_baseline__300s,V12_M2,tailored_full_static_baseline,tailored_full_frontier,300,2026-07-12T07:42:14+08:00,2026-07-12T07:45:36+08:00,201.54,0,0x00000000,False,False,18108243968,17985163264,17443524608,517398528,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__tailored_full_static_baseline__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__tailored_full_static_baseline__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__tailored_route_cutset_callback__300s,V12_M2,tailored_route_cutset_callback,tailored_full_frontier,300,2026-07-12T07:45:36+08:00,2026-07-12T07:48:58+08:00,201.569,0,0x00000000,False,False,17995067392,18001747968,17521336320,406372352,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__tailored_route_cutset_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__tailored_route_cutset_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M2__plain_cplex__300s,V12_M2,plain_cplex,plain_cplex,300,2026-07-12T07:48:58+08:00,2026-07-12T07:54:00+08:00,301.563,0,0x00000000,False,False,17995804672,18048323584,17932521472,150470656,1,1,0,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,benchmark_internal_incumbent_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M2__plain_cplex__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M2__plain_cplex__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
full__tight_T_seed3101__tailored_static_no_callback__300s,tight_T_seed3101,tailored_static_no_callback,tailored_full_frontier,300,2026-07-12T07:54:00+08:00,2026-07-12T07:55:18+08:00,78.578,0,0x00000000,False,False,18074886144,18100301824,18042753024,221179904,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__tailored_static_no_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__tailored_static_no_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__tight_T_seed3101__tailored_callback_telemetry_only__300s,tight_T_seed3101,tailored_callback_telemetry_only,tailored_full_frontier,300,2026-07-12T07:55:19+08:00,2026-07-12T07:56:35+08:00,76.649,0,0x00000000,False,False,18092527616,18046115840,18024747008,219176960,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__tailored_callback_telemetry_only__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__tailored_callback_telemetry_only__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__tight_T_seed3101__tailored_cheap_cuts__300s,tight_T_seed3101,tailored_cheap_cuts,tailored_full_frontier,300,2026-07-12T07:56:36+08:00,2026-07-12T07:57:54+08:00,78.593,0,0x00000000,False,False,18049097728,18057420800,17990836224,219168768,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__tailored_cheap_cuts__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__tailored_cheap_cuts__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__tight_T_seed3101__tailored_full_static_baseline__300s,tight_T_seed3101,tailored_full_static_baseline,tailored_full_frontier,300,2026-07-12T07:57:55+08:00,2026-07-12T07:59:13+08:00,78.617,0,0x00000000,False,False,18061053952,18109382656,18038161408,219197440,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__tailored_full_static_baseline__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__tailored_full_static_baseline__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__tight_T_seed3101__tailored_route_cutset_callback__300s,tight_T_seed3101,tailored_route_cutset_callback,tailored_full_frontier,300,2026-07-12T07:59:14+08:00,2026-07-12T08:00:32+08:00,78.61,0,0x00000000,False,False,18104221696,18113138688,18048569344,218923008,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__tailored_route_cutset_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__tailored_route_cutset_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__tight_T_seed3101__plain_cplex__300s,tight_T_seed3101,plain_cplex,plain_cplex,300,2026-07-12T08:00:32+08:00,2026-07-12T08:05:34+08:00,301.669,0,0x00000000,False,False,18108620800,18120765440,17486897152,649838592,1,1,0,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,benchmark_internal_incumbent_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3101__plain_cplex__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3101__plain_cplex__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
full__high_imbalance_seed3202__tailored_static_no_callback__300s,high_imbalance_seed3202,tailored_static_no_callback,tailored_full_frontier,300,2026-07-12T08:05:34+08:00,2026-07-12T08:10:40+08:00,305.696,0,0x00000000,False,False,18144272384,18110545920,17864388608,274812928,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__high_imbalance_seed3202__tailored_static_no_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__high_imbalance_seed3202__tailored_static_no_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
full__high_imbalance_seed3202__tailored_callback_telemetry_only__300s,high_imbalance_seed3202,tailored_callback_telemetry_only,tailored_full_frontier,300,2026-07-12T08:10:41+08:00,2026-07-12T08:15:53+08:00,312.371,0,0x00000000,False,False,18115751936,18074890240,17869541376,244576256,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__high_imbalance_seed3202__tailored_callback_telemetry_only__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__high_imbalance_seed3202__tailored_callback_telemetry_only__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
full__high_imbalance_seed3202__tailored_cheap_cuts__300s,high_imbalance_seed3202,tailored_cheap_cuts,tailored_full_frontier,300,2026-07-12T08:15:53+08:00,2026-07-12T08:21:06+08:00,312.339,0,0x00000000,False,False,18077364224,18137317376,17829007360,244424704,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__high_imbalance_seed3202__tailored_cheap_cuts__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__high_imbalance_seed3202__tailored_cheap_cuts__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
full__high_imbalance_seed3202__tailored_full_static_baseline__300s,high_imbalance_seed3202,tailored_full_static_baseline,tailored_full_frontier,300,2026-07-12T08:21:06+08:00,2026-07-12T08:26:12+08:00,305.591,0,0x00000000,False,False,18132684800,18052272128,17747914752,254152704,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__high_imbalance_seed3202__tailored_full_static_baseline__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__high_imbalance_seed3202__tailored_full_static_baseline__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
