stage,id,arm,ledger,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,terminal_ready,coalesced_block_id,coverage_member_ids,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,single_child_contraction_parent,strict_infeasible_half_verified,contracted_infeasible_gamma_L,contracted_infeasible_gamma_U,contraction_source,closure_source,lower_bound_sources,anchor_cell_index,anchor_lower,anchor_upper,active,active_lower,active_upper,truncated_by_proof_range,U_proof_launch,U_anchor_launch,proof_range_lower,proof_range_upper,normalization_source,decision_sequence,K0,tau,interval_id,B_p,B_L,B_R,U,proof_gap,g_L_raw,g_R_raw,g_L,g_R,eta,mu,S_AM,adaptive_rho_I,score_tolerance,selected_action,native_target,deterministic_reason,coverage_update,phase_index,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,native_bound,target_reached,exact_closure,requeued,event_source
confirmation300,C1,Single-S-off,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.67086986771486645,0,0.23672194796145529,open,1,1,0,0.069138687572438823,1,1,,,0,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-off,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.67086986771486645,1,0,0.67086986771486645,0,0.67086986771486645,0.67086986771486645,0,0.67086986771486645,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-submit,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,296.86223560000002,0.046000003814697266,0.113930307143799,0,1425,0,0.00706604,27350a505e5c2b53176e658ec6b89d7a8e74c787f3d5d6f8c5e401cb2dbad2f8,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-submit,paper_optimize_ledger.csv,L0,MIP,TIME_LIMIT,0,296.80398559999998,296.8050000667572,559.08798641102635,63412,5358319,0,0.058015290999999997,27350a505e5c2b53176e658ec6b89d7a8e74c787f3d5d6f8c5e401cb2dbad2f8,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-submit,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.67086986771486645,0,0.24515290626763978,open,1,1,0,0.069138687572438823,1,1,,,0,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-submit,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.67086986771486645,1,0,0.67086986771486645,0,0.67086986771486645,0.67086986771486645,0,0.67086986771486645,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,296.91556830000002,0.10900020599365234,0.3015452305938498,0,2276,0,0.020313901999999998,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_optimize_ledger.csv,L0.0,LP,OPTIMAL,0,296.7047,0.12399983406066895,0.33312606807211831,0,2261,0,0.023108428,ae77e0c7c3d78c52a55f5c04ad07904ae6ceb3744fb2a3b1dbee44b27d54d7d4,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_optimize_ledger.csv,L0.1,LP,OPTIMAL,0,296.48411659999999,0.089999914169311523,0.24748820277232336,0,1899,0,0.023108428,139fa179081e5631bfa236115d91d19aae0696ec148b5239e0966bbb14db6b7b,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_optimize_ledger.csv,L0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0,296.37001620000001,0.29600000381469727,0.54455875178470736,1,2097,0,0.035577439000000002,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_optimize_ledger.csv,L0,MIP,TIME_LIMIT,0,296.06363370000003,296.06399989128113,610.16578086651725,20685,2514131,0,0.20026509000000001,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.94999999999999996,0,0.79731778936297293,open,1,1,0,0.53016023239154275,1,1,,,1,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_child_target_native_bound;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-off,adaptive_mass_decision_ledger.csv,,,,,,,,,,,,,,,,,,0,,0,0.94999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.080000000000000002,L0,0.53016023239154275,0.53074614637481399,0.9070646309663335,1.0459177733327443,0.51575754094120152,0.0011360260137001706,0.73077826043412009,0.0011360260137001706,0.73077826043412009,0.0011360260137001706,0.36595714322391015,0.00041573683460176107,0.21860483250917762,1.9388956190963021e-07,native-target,0.53074614637481399,adaptive_mass_score_below_tau_native_target,parent_coverage_retained,,,,,,,,,,,
k1_integration,C2,K1-S-off,adaptive_mass_decision_ledger.csv,,,,,,,,,,,,,,,,,,0,,0,0.94999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.080000000000000002,L0,0.60647555438613288,0.53074614637481399,0.9070646309663335,1.0459177733327443,0.4394422189466114,-0.17233075190829442,0.68402411880393243,0,0.68402411880393243,0,0.34201205940196622,0,0.23390988066293925,2.2756121012253931e-07,exact-close,,adaptive_mass_no_strict_child_improvement,parent_coverage_retained,,,,,,,,,,,
k1_integration,C2,K1-S-off,native_target_ledger.csv,L0,,INTERRUPTED,,,0.29600000381469727,0.54455875178470736,1,,,,,,,,,,,,,,,,target_reached_requeue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,child_disjunction,0.53016023239154275,0.53074614637481399,inf,1.0459177733327443,0.60647555438613288,1,0,1,c6_child_bound_reached_parent_requeued_no_forced_split
k1_integration,C2,K1-S-off,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.94999999999999996,1,0,0.94999999999999996,0,1.0459177733327443,1.0459177733327443,0,0.94999999999999996,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,296.89118089999999,0.1100001335144043,0.3015452305938498,0,2276,0,0.020313907999999999,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.0,LP,OPTIMAL,0,296.68070749999998,0.12300014495849609,0.33312606807211831,0,2261,0,0.023108434000000001,ae77e0c7c3d78c52a55f5c04ad07904ae6ceb3744fb2a3b1dbee44b27d54d7d4,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.1,LP,OPTIMAL,0,296.4598866,0.089999914169311523,0.24748820277232336,0,1899,0,0.023108434000000001,139fa179081e5631bfa236115d91d19aae0696ec148b5239e0966bbb14db6b7b,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0,296.34556550000002,0.30499982833862305,0.54455875178470736,1,2097,0,0.035596788999999997,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,295.95008239999999,0.10599994659423828,0.27725728040981878,0,2040,0,0.035596788999999997,1a993fb3b8b07d28b9c8ce9deced3be52881da460f552758b3eff5b11adf9f40,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.0,LP,OPTIMAL,0,295.73928899999999,0.14300012588500977,0.33610755353483862,0,2334,0,0.035596788999999997,5b28860d5d83e62277e51d3eb17a0b021a11b5227ce4f77b3856b2553373f08e,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.1,LP,INFEASIBLE,0,295.4897575,0.12700009346008301,0.2350777014667631,0,1309,0,0.035596788999999997,dcdc2770316f59775a1001ff9e40aabfd892d9d09c4962b257693c755e751d2a,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.0.0,LP,OPTIMAL,0,295.25571239999999,0.14699983596801758,0.41187875103229271,0,2592,0,0.035596788999999997,dfce09e5216ea7605ed55b203b7546dffd80ae47eeb009fba2aec412e5cb2ea2,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.0.1,LP,OPTIMAL,0,295.0069886,0.1099998950958252,0.29945522516650153,0,2296,0,0.035596788999999997,60e34af70ab319136dbc2df1c8edf80a588c5c88617faa9a692ba9a209bf63e2,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_optimize_ledger.csv,L0.0,MIP,TIME_LIMIT,0,294.8712099,294.8730001449585,592.67927176197816,21917,2413006,0,0.19669961399999999,5b28860d5d83e62277e51d3eb17a0b021a11b5227ce4f77b3856b2553373f08e,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.94999999999999996,0,0.60647555438613288,replaced,1,1,0,0.53016023239154264,0,0,,,1,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_child_target_native_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_leaf_ledger.csv,L0.0,,,,,,,,,,,,,,,,L0,1,0,0,0.47499999999999998,0.60647555438613288,0.80919387451005209,open,1,1,0,0.5307461463748141,1,1,,,0,0,0,0,0,,,,,inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,paper_leaf_ledger.csv,L0.1,,,,,,,,,,,,,,,,L0,1,1,0.47499999999999998,0.94999999999999996,0.60647555438613288,0.83709146755470198,empty,1,0,1,0,0,0,,,0,0,0,0,0,,,,complete_child_lp_infeasible,inherited_parent_lp_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1_integration,C2,K1-S-submit,adaptive_mass_decision_ledger.csv,,,,,,,,,,,,,,,,,,0,,0,0.94999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.080000000000000002,L0,0.53016023239154275,0.53074614637481399,0.9070646309663335,1.0459177733327443,0.51575754094120152,0.0011360260137001706,0.73077826043412009,0.0011360260137001706,0.73077826043412009,0.0011360260137001706,0.36595714322391015,0.00041573683460176107,0.21860483250917762,1.9388956190963021e-07,native-target,0.53074614637481399,adaptive_mass_score_below_tau_native_target,parent_coverage_retained,,,,,,,,,,,
k1_integration,C2,K1-S-submit,adaptive_mass_decision_ledger.csv,,,,,,,,,,,,,,,,,L0,1,,0,0.47499999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.080000000000000002,L0.0,0.60647555438613288,0.56118183637858465,0.67542062615353637,0.83709146755470198,0.23061591316856911,-0.19640326370037048,0.29896059998690538,0,0.29896059998690538,0,0.14948029999345269,0,0.53518757992527466,4.3362142822091136e-07,exact-close,,adaptive_mass_no_strict_child_improvement,parent_coverage_retained,,,,,,,,,,,
k1_integration,C2,K1-S-submit,native_target_ledger.csv,L0,,INTERRUPTED,,,0.30499982833862305,0.54455875178470736,1,,,,,,,,,,,,,,,,target_reached_requeue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,child_disjunction,0.53016023239154275,0.53074614637481399,inf,0.83709146755470198,0.60647555438613288,1,0,1,c6_child_bound_reached_parent_requeued_no_forced_split
k1_integration,C2,K1-S-submit,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.94999999999999996,1,0,0.94999999999999996,0,1.0459177733327443,1.0459177733327443,0,0.94999999999999996,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,593.96178169999996,0.10699987411499023,0.28866487798806356,0,2294,0,0.020353472000000001,48f00424ac4080a0b940b5a8c9351072ce8bb94243b95cfeec26fc580474e014,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0.0,LP,OPTIMAL,0,593.74299870000004,0.12000012397766113,0.32894918216854385,0,2335,0,0.021714810000000001,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0.1,LP,INFEASIBLE,0,593.51045790000001,0.07500004768371582,0.17849820609308431,0,1547,0,0.022133594999999999,08ef6abb1c0c5868e0ab1740f99b0a9be2cdd1cc011fb1f21a8c2e0b78596fcc,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0.0.0,LP,OPTIMAL,0,593.31923979999999,0.17400002479553223,0.40601020663551096,0,2761,0,0.022133594999999999,59282f716df3cf826b40f7c0486fa7d3433777a490cd3c3b6a6b054d78e0fd69,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.0.0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0.0.1,LP,OPTIMAL,0,593.03114440000002,0.1100001335144043,0.2827497643399095,0,2295,0,0.023099919999999999,bfebdb0b67b95a67886ef04ce44ec71aced3d24a4f6dcdd14695162f0332d223,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.0.1_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references,C2,K1-H,paper_optimize_ledger.csv,L0.0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0,592.89599940000005,0.28199982643127441,0.53634831501589353,1,1966,0,0.033213048000000002,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
