stage,id,arm,kind,charged,calls,wall_seconds,cap_seconds,within_budget
oracle_prefix,D3,mip,oracle,True,1,17.016000000294298,120,True
long600,D3,off,performance,True,1,315.405999999959,600,True
long600,D3,submit,performance,True,1,183.04700000025332,600,True
long600,D4,off,performance,True,1,89.95299999974668,600,True
long600,D4,submit,performance,True,1,95.34400000004098,600,True
long600,D7,off,performance,True,1,598.530999999959,600,True
long600,D7,submit,performance,True,1,598.5780000002123,600,True
confirmation600,C2,Single-S-off,performance,True,2,551.8590000001714,600,True
confirmation600,C2,Single-S-submit,performance,True,2,597.094000000041,600,True
confirmation300,C1,Single-S-off,performance,True,2,297.07800000021234,300,True
confirmation300,C1,Single-S-submit,performance,True,2,297.07800000021234,300,True
k1_integration,C2,K1-S-off,performance,True,5,297.06199999991804,300,True
k1_integration,C2,K1-S-submit,performance,True,10,297.06199999991804,300,True
references,C2,P-GRB,performance,True,1,597.094000000041,600,True
references,C2,K1-H,performance,True,7,527.25,600,True
identity_admission,D2,off,build-only,False,0,0.26599999982863665,15,True
identity_admission,D3,off,build-only,False,0,0.0940000000409782,15,True
identity_admission,D4,off,build-only,False,0,0.0940000000409782,15,True
identity_lambda027,D2,old,build-only,False,0,0.29699999978765845,15,True
identity_lambda027,D2,new,build-only,False,0,0.17200000025331974,15,True
quality_final,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,0.125,90,True
quality_final,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,0.04600000008940697,90,True
easy_protection,D1,Single-S-off,performance,True,2,0.42200000025331974,60,True
easy_protection,D1,Single-S-submit,performance,True,2,0.17100000008940697,60,True
k1_corrected,C2,K1-S-off,performance,True,5,297.06300000008196,300,True
k1_corrected,C2,K1-S-submit,performance,True,10,297.07800000021234,300,True
oracle_conflict_1,D4,mip,oracle,True,1,104.34299999987707,120,True
oracle_conflict_2,D4,mip,oracle,True,1,118.0160000002943,120,True
cheap_proof_batch,D3+D4+D6,fixed_cheap_bounds_and_clique,proof-construction,True,0,0.1559999999590218,10,True
