stage,id,arm,file,sha256,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
publication,D6,prefix-on,results\gf_transfer_block_native_time_round61\local_raw\publication\D6\prefix-on\PREFIX_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
publication,D7,prefix-off,results\gf_transfer_block_native_time_round61\local_raw\publication\D7\prefix-off\PREFIX_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
publication,D7,prefix-on,results\gf_transfer_block_native_time_round61\local_raw\publication\D7\prefix-on\PREFIX_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D3\BLOCK-R_witness.json,5599f9fcb24acbd5aaaa023910ea3b07d23f9b6048539b5657ec7331ee7d0833,0.1033134701400682,0.044443830367340925,0.39246426515151517,10,27,24,2820.4290817817046,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D3\BLOCK_witness.json,bb7777dc108f47c8556586a095ccb15501adeaff0f3dd70dee594660926deb48,0.1271719996167559,0.054887201510695316,0.48189865404040394,11,25,22,2848.9414652986634,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D3\LEGACY60_witness.json,9445c0269064164f6c81058d6c26d6e09edf4f59db4b1f393f967e3b8922b165,0.11112610824941918,0.047394171452882376,0.42487957864357867,7,25,19,2654.098586990154,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D3\PREFIX-R_witness.json,38e17ebff016ff76ff5bd83ff4abdafdecc7db11a6786e952ce7f752c4a15cb4,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D3\PREFIX_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D4\BLOCK-R_witness.json,7c20c2a3210b5c5b588da43a8340c576a3d9f265fa87c09c97dbf83e4cf4ba12,0.5220831267121836,0.1856338886977081,2.2429949200965034,7,28,28,2366.030638810974,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D4\BLOCK_witness.json,017c40f7f64033c2a7a7416e4bd37a04acd30a4132152f494462f8acae45de55,0.5692147745686755,0.20202291668404462,2.447945719230873,8,26,26,2294.371123576399,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D4\LEGACY60_witness.json,733dd97e80454910984ca80a1d6e6e4b33e65468fd575a12a57aec880a639a23,0.6298595581519119,0.22726574247824557,2.683958771157775,6,27,27,2292.3045285438257,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D4\PREFIX-R_witness.json,3a63deda031a39d7c1563cf1a674467cd071709d1ddcbb0442e282678b89703e,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D4\PREFIX_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D6\BLOCK-R_witness.json,e6ab7261e44cf6748a0bdefd211a5536639d728c4f24a0868a047d14cb6faf25,0.16556027530006162,0.01882932787406914,0.9782063161732832,30,117,117,16533.102379972148,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D6\BLOCK_witness.json,091b5b40f15a111daa484d39b338bd9b62dda230c1900ceaf2c70690d41ff4c3,0.25664215863900003,0.10803621672175064,0.9907062794483295,30,131,131,17973.102379972148,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D6\LEGACY60_witness.json,006f32227f745ddba567ec99e84d10fc3b25a8b1af914a638521c046eb9f7840,0.9936294471372696,0.3414329721565924,4.347976499871182,2,9,9,2692.2895669505533,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D6\PREFIX-R_witness.json,acc456b619dcf257ec642e3215b3a0c272f396a7a732b39f7f0856eafb1eab72,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D6\PREFIX_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D7\BLOCK-R_witness.json,f7e6c419e365c55737857008ff7d6223f38ea752a69f9f212d1fd75ea85f9f12,0.5213336819442645,0.20691455811113696,2.096127492220851,42,218,218,17908.75604108852,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D7\BLOCK_witness.json,7b8d5ccf0c306b0faa123d8e6a589b80d6c49d959635bacea6c2333aebf8bfaa,0.6234293395970685,0.22870718546091062,2.6314810275743863,42,218,218,17908.75604108852,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D7\LEGACY60_witness.json,e0fcbeea48a7d2dd63dd5071bc3f93b9d8bd17d9cbfc35d936e0e7111072c7f3,1.4835579219361101,0.3800728077085653,7.356567428183632,1,15,0,4336.307107225804,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D7\PREFIX-R_witness.json,d31c10dbb88765fb4442c4723dc5f314bd2500405be5addebe8774008ef15b04,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,results\gf_transfer_block_native_time_round61\local_raw\quality_v2\D7\PREFIX_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
fixed120,D3,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D3\archive\round61\archive_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
fixed120,D3,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D3\submit\round61\archive_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
fixed120,D4,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D4\archive\round61\archive_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
fixed120,D4,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D4\submit\round61\archive_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
fixed120,D6,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D6\archive\round61\archive_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
fixed120,D6,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D6\submit\round61\archive_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
fixed120,D7,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D7\archive\round61\archive_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
fixed120,D7,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120\D7\submit\round61\archive_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
