stage,id,arm,file,line,incumbent_rounded,solver_seconds_rounded,raw_line
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,80,0.8504088,4.0,H    0     0                       0.8504088    0.70853  16.7%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,82,0.8423354,4.0,H    2     2                       0.8423354    0.70853  15.9%   269    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,84,0.8407518,5.0,H   15    15                       0.8407518    0.71153  15.4%   371    5s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,85,0.8399082,6.0,H  203   195                       0.8399082    0.71158  15.3%  89.2    6s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,86,0.8398662,7.0,H  236   228                       0.8398662    0.71158  15.3%  99.4    7s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,89,0.8306776,20.0,H  562   471                       0.8306776    0.72489  12.7%   104   20s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,90,0.8302485,20.0,H  562   447                       0.8302485    0.72489  12.7%   104   20s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,91,0.8299634,20.0,H  562   424                       0.8299634    0.72489  12.7%   104   20s
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,40,1.0418805,0.0,H    0     0                       1.0418805    0.60767  41.7%     -    0s
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,42,0.8370915,0.0,H    0     0                       0.8370915    0.68164  18.6%     -    0s
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,65,0.8368477,6.0,H  114   112                       0.8368477    0.71002  15.2%   117    6s
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,69,0.8314223,21.0,H  572   478                       0.8314223    0.71984  13.4%   114   21s
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,80,0.8299634,74.0,H 2939  1209                       0.8299634    0.75707  8.78%   150   74s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,39,0.6668903,0.0,H    0     0                       0.6668903    0.08252  87.6%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,43,0.6543843,0.0,H    0     0                       0.6543843    0.12758  80.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,44,0.6535776,0.0,H    0     0                       0.6535776    0.12758  80.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,47,0.6080108,0.0,H    0     0                       0.6080108    0.12820  78.9%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,50,0.6076063,0.0,H    0     0                       0.6076063    0.12896  78.8%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,55,0.5429873,0.0,H    0     0                       0.5429873    0.12993  76.1%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,56,0.5413742,0.0,H    0     0                       0.5413742    0.12993  76.0%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,57,0.540545,0.0,H    0     0                       0.5405450    0.12993  76.0%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,58,0.5311407,0.0,H    0     0                       0.5311407    0.12993  75.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,59,0.5305732,0.0,H    0     0                       0.5305732    0.12993  75.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,60,0.5299919,0.0,H    0     0                       0.5299919    0.12993  75.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,61,0.5299784,0.0,H    0     0                       0.5299784    0.12993  75.5%     -    0s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,70,0.5000473,1.0,H    0     0                       0.5000473    0.13171  73.7%     -    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,71,0.4970954,1.0,H    0     0                       0.4970954    0.13171  73.5%     -    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,72,0.4645029,1.0,H    0     0                       0.4645029    0.13171  71.6%     -    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,73,0.4563974,1.0,H    0     0                       0.4563974    0.13171  71.1%     -    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,74,0.4561182,1.0,H    0     0                       0.4561182    0.13171  71.1%     -    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,76,0.4547051,1.0,H    7     7                       0.4547051    0.13672  69.9%  77.1    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,77,0.4422882,1.0,H   13    13                       0.4422882    0.13822  68.7%   162    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,78,0.4385814,1.0,H   13    13                       0.4385814    0.13822  68.5%   162    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,79,0.4369061,1.0,H   43    43                       0.4369061    0.13822  68.4%  92.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,80,0.4364094,1.0,H   43    43                       0.4364094    0.13822  68.3%  92.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,81,0.4305522,1.0,H   43    43                       0.4305522    0.13822  67.9%  92.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,82,0.4278933,1.0,H   43    43                       0.4278933    0.13822  67.7%  92.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,83,0.4252734,1.0,H   43    43                       0.4252734    0.13822  67.5%  92.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,84,0.4199424,1.0,H   52    50                       0.4199424    0.13822  67.1%  89.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,85,0.4151946,1.0,H   70    68                       0.4151946    0.13822  66.7%  75.5    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,86,0.414865,1.0,H   70    68                       0.4148650    0.13822  66.7%  75.5    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,87,0.4049899,1.0,H   70    68                       0.4049899    0.13822  65.9%  75.5    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,88,0.4035289,1.0,H  104    96                       0.4035289    0.13822  65.7%  56.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,89,0.4034557,1.0,H  104    96                       0.4034557    0.13822  65.7%  56.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,90,0.4008521,1.0,H  104    96                       0.4008521    0.13822  65.5%  56.2    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,91,0.4001808,1.0,H  112    98                       0.4001808    0.13943  65.2%  61.1    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,92,0.4000554,1.0,H  112    98                       0.4000554    0.13943  65.1%  61.1    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,93,0.3999616,1.0,H  112    98                       0.3999616    0.13943  65.1%  61.1    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,94,0.3967979,1.0,H  116   102                       0.3967979    0.13943  64.9%  64.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,95,0.396702,1.0,H  116   102                       0.3967020    0.13943  64.9%  64.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,96,0.3880719,1.0,H  116   102                       0.3880719    0.13943  64.1%  64.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,97,0.3869592,1.0,H  116   102                       0.3869592    0.13943  64.0%  64.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,98,0.3838238,1.0,H  116   102                       0.3838238    0.13943  63.7%  64.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,99,0.3829572,1.0,H  122   108                       0.3829572    0.13943  63.6%  68.5    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,100,0.381645,1.0,H  142   128                       0.3816450    0.13943  63.5%  68.7    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,101,0.3810204,1.0,H  153   137                       0.3810204    0.13943  63.4%  67.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,102,0.3791546,1.0,H  153   137                       0.3791546    0.13943  63.2%  67.3    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,103,0.3742286,1.0,H  202   186                       0.3742286    0.13943  62.7%  60.0    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,104,0.3736392,1.0,H  202   185                       0.3736392    0.13943  62.7%  60.0    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,105,0.3733297,1.0,H  202   185                       0.3733297    0.13943  62.7%  60.0    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,106,0.3728992,1.0,H  202   185                       0.3728992    0.13943  62.6%  60.0    1s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,107,0.371639,2.0,H  239   210                       0.3716390    0.14066  62.2%  57.3    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,108,0.3700882,2.0,H  239   210                       0.3700882    0.14066  62.0%  57.3    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,109,0.3545975,2.0,H  239   204                       0.3545975    0.14066  60.3%  57.3    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,110,0.3485418,2.0,*  390   323              64       0.3485418    0.14222  59.2%  55.4    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,111,0.3483687,2.0,H  419   345                       0.3483687    0.14250  59.1%  55.6    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,112,0.2974677,2.0,H  419   266                       0.2974677    0.14250  52.1%  55.6    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,113,0.2777732,2.0,H  419   234                       0.2777732    0.14250  48.7%  55.6    2s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,115,0.2704881,5.0,H  598   333                       0.2704881    0.14453  46.6%  53.2    5s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,116,0.2701049,5.0,H  598   316                       0.2701049    0.14453  46.5%  53.2    5s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,117,0.2681874,5.0,H  598   300                       0.2681874    0.14453  46.1%  53.2    5s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,118,0.2670639,5.0,H  598   285                       0.2670639    0.14453  45.9%  53.2    5s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,119,0.2667675,6.0,H  613   280                       0.2667675    0.14453  45.8%  69.7    6s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,120,0.2656521,6.0,H  613   266                       0.2656521    0.14453  45.6%  69.7    6s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,121,0.2650219,6.0,H  615   253                       0.2650219    0.14453  45.5%  70.8    6s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,122,0.2650219,6.0,H  633   253                       0.2650219    0.14453  45.5%  73.3    6s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,123,0.263527,8.0,H  851   327                       0.2635270    0.14453  45.2%  74.1    8s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,124,0.2632765,8.0,H  858   318                       0.2632765    0.14453  45.1%  75.4    8s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,125,0.261817,8.0,H  858   306                       0.2618170    0.14453  44.8%  75.4    8s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,174,0.261817,251.0,H44719  6569                       0.2618170    0.22968  12.3%  91.5  251s
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,177,0.261817,260.0,H46299  6666                       0.2618170    0.23067  11.9%  91.1  260s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,39,0.6668903,0.0,H    0     0                       0.6668903    0.08252  87.6%     -    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,40,0.2976671,0.0,H    0     0                       0.2976671    0.11990  59.7%     -    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,57,0.2947641,0.0,H    7     7                       0.2947641    0.13660  53.7%   104    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,58,0.2947395,0.0,H   26    26                       0.2947395    0.13660  53.7%  85.0    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,59,0.2919305,0.0,H   26    26                       0.2919305    0.13660  53.2%  85.0    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,60,0.2906496,0.0,H   26    26                       0.2906496    0.13660  53.0%  85.0    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,61,0.2905062,0.0,H   26    26                       0.2905062    0.13660  53.0%  85.0    0s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,62,0.2901573,1.0,H  115   105                       0.2901573    0.13695  52.8%  46.0    1s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,63,0.2878496,2.0,H  610   450                       0.2878496    0.14538  49.5%  40.1    2s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,64,0.2877534,2.0,H  610   450                       0.2877534    0.14538  49.5%  40.1    2s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,65,0.2875461,2.0,H  610   450                       0.2875461    0.14538  49.4%  40.1    2s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,66,0.277405,2.0,H  610   439                       0.2774050    0.14538  47.6%  40.1    2s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,67,0.2772952,4.0,H  619   422                       0.2772952    0.14538  47.6%  39.5    4s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,68,0.2660556,5.0,H  623   404                       0.2660556    0.14538  45.4%  39.3    5s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,69,0.2657548,5.0,H  623   383                       0.2657548    0.14538  45.3%  39.3    5s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,70,0.264913,5.0,H  623   364                       0.2649130    0.14538  45.1%  39.3    5s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,71,0.2633239,6.0,H  758   409                       0.2633239    0.14538  44.8%  56.4    6s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,72,0.2631948,6.0,H  758   392                       0.2631948    0.14538  44.8%  56.4    6s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,73,0.2621888,8.0,H 1052   461                       0.2621888    0.14904  43.2%  70.1    8s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,74,0.2619372,8.0,H 1052   445                       0.2619372    0.14904  43.1%  70.1    8s
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,75,0.261817,8.0,H 1052   430                       0.2618170    0.14904  43.1%  70.1    8s
k1_integration,C2,K1-S-off,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,33,1.0353168,0.0,H    0     0                       1.0353168    0.60767  41.3%     -    0s
k1_integration,C2,K1-S-off,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,37,1.0107777,1.0,H    0     0                       1.0107777    0.69185  31.6%     -    1s
k1_integration,C2,K1-S-off,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,40,1.0083581,1.0,H    0     0                       1.0083581    0.70114  30.5%     -    1s
