state_id,model_sha256,row_count,family_count,exact_duplicate_rows,canonical_signature_duplicate_rows,exact_duplicate_groups,canonical_duplicate_groups,same_lhs_proved_dominated_rows,dominated_row_ids,all_rows_parsed,failure_reason
D12,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,16042,17,6,6,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,0,none,true,none
D13,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,10884,17,15,15,operation_and_load_definition:c3212;c3215|operation_and_load_definition:c3275;c3278|operation_and_load_definition:c3295;c3298|operation_and_load_definition:c3309;c3312|operation_and_load_definition:c3316;c3319|operation_and_load_definition:c4154;c4157|operation_and_load_definition:c4217;c4220|operation_and_load_definition:c4237;c4240|operation_and_load_definition:c4251;c4254|operation_and_load_definition:c4258;c4261|operation_and_load_definition:c5096;c5099|operation_and_load_definition:c5159;c5162|operation_and_load_definition:c5179;c5182|operation_and_load_definition:c5193;c5196|operation_and_load_definition:c5200;c5203,operation_and_load_definition:c3212;c3215|operation_and_load_definition:c3275;c3278|operation_and_load_definition:c3295;c3298|operation_and_load_definition:c3309;c3312|operation_and_load_definition:c3316;c3319|operation_and_load_definition:c4154;c4157|operation_and_load_definition:c4217;c4220|operation_and_load_definition:c4237;c4240|operation_and_load_definition:c4251;c4254|operation_and_load_definition:c4258;c4261|operation_and_load_definition:c5096;c5099|operation_and_load_definition:c5159;c5162|operation_and_load_definition:c5179;c5182|operation_and_load_definition:c5193;c5196|operation_and_load_definition:c5200;c5203,0,none,true,none
D14,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,10891,17,3,3,operation_and_load_definition:c3215;c3218|operation_and_load_definition:c4157;c4160|operation_and_load_definition:c5099;c5102,operation_and_load_definition:c3215;c3218|operation_and_load_definition:c4157;c4160|operation_and_load_definition:c5099;c5102,0,none,true,none
C1,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,16042,17,6,6,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,0,none,true,none
C2,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,16042,17,6,6,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,operation_and_load_definition:c1382;c1385|operation_and_load_definition:c1396;c1399|operation_and_load_definition:c1756;c1759|operation_and_load_definition:c1770;c1773|operation_and_load_definition:c2130;c2133|operation_and_load_definition:c2144;c2147,0,none,true,none
C3,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,10905,17,3,3,operation_and_load_definition:c3237;c3240|operation_and_load_definition:c4179;c4182|operation_and_load_definition:c5121;c5124,operation_and_load_definition:c3237;c3240|operation_and_load_definition:c4179;c4182|operation_and_load_definition:c5121;c5124,0,none,true,none
C4,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,10863,17,6,6,operation_and_load_definition:c3220;c3223|operation_and_load_definition:c3305;c3308|operation_and_load_definition:c4162;c4165|operation_and_load_definition:c4247;c4250|operation_and_load_definition:c5104;c5107|operation_and_load_definition:c5189;c5192,operation_and_load_definition:c3220;c3223|operation_and_load_definition:c3305;c3308|operation_and_load_definition:c4162;c4165|operation_and_load_definition:c4247;c4250|operation_and_load_definition:c5104;c5107|operation_and_load_definition:c5189;c5192,0,none,true,none
C5,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,10870,17,0,0,none,none,0,none,true,none
C6,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,2298,17,1,1,operation_and_load_definition:c536;c539,operation_and_load_definition:c536;c539,0,none,true,none
C7,b418bcbdd64fab3d5023335fe6dcd118a9d6d8321d5ff6e6550df8b0c91076f3,5835,17,0,0,none,none,0,none,true,none
C8,904467263099424dd3d9f92352c558a2aa684583d24bc521eb1b2d1b27b57157,2312,17,0,0,none,none,0,none,true,none
C9,f2ff779a6a82a41c9720b614664bc01969711ccfaae53f233965b59c26ddf2ce,2539,17,0,0,none,none,0,none,true,none
