state_id,instance,V,objective_identity,variable_order_type_bound_identity,interval_cutoff_symmetry_and_nontarget_rows_identity,solver_command_contract_identity,v0_model_sha256,f0_model_sha256,byte_identical,v0_rows,f0_rows,removed_rows,v0_columns,f0_columns,v0_nonzeros,f0_nonzeros,removed_nonzeros,target_first_row_id,target_last_row_id,pass,executable_sha256
D11,tight_T_seed3102,20,True,True,True,True,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,True,10870,10870,0,3372,3372,53705,53705,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D12,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,True,True,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,0486740306248d9b1014b7b92f713e250116700683e02ed48020b39f2ced3db8,False,16042,3757,12285,1402,1402,163484,16028,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D13,high_imbalance_seed3201,20,True,True,True,True,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,True,10884,10884,0,3376,3376,53713,53713,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D14,moderate_seed3301,20,True,True,True,True,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,True,10891,10891,0,3378,3378,53488,53488,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C1,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,True,True,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,632c191c809697e3cb867197258a7f32e810a8e154eac688444d785bc5ce79b9,False,16042,3757,12285,1402,1402,163484,16028,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,True,True,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,40216cacc6328abd5c3b2dd11517e3c047888795654b4511930cf09e1f05062d,False,16042,3757,12285,1402,1402,163630,16174,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C3,tight_T_seed3101,20,True,True,True,True,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,True,10905,10905,0,3382,3382,53522,53522,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C4,high_imbalance_seed3202,20,True,True,True,True,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,True,10863,10863,0,3370,3370,53686,53686,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C5,moderate_seed3302,20,True,True,True,True,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,True,10870,10870,0,3372,3372,53446,53446,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C6,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,10,True,True,True,True,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,2a9ffda5a2d8e3ef6d30c36137fb7e6661cf8b662a0a7e003946035531220a11,False,2298,1275,1023,479,479,14936,4696,10240,772,1794,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C7,round39_small_hard_V12_M1_Q20_slot05_seed180890838,12,True,True,True,True,b418bcbdd64fab3d5023335fe6dcd118a9d6d8321d5ff6e6550df8b0c91076f3,d41c04593d5d0765c40d79695efc9c955e2644eb131b6c207f1a84417a7e2807,False,5835,1740,4095,636,636,56029,6877,49152,1022,5116,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C8,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,10,True,True,True,True,904467263099424dd3d9f92352c558a2aa684583d24bc521eb1b2d1b27b57157,8db5bfc2d6d39b4f9673381490ca303f748dafa125117e36e85288464b2ef9fd,False,2312,1289,1023,483,483,15227,4987,10240,780,1802,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
C9,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,8,True,True,True,True,f2ff779a6a82a41c9720b614664bc01969711ccfaae53f233965b59c26ddf2ce,8f5241fe635ab9556d647fa22c735006329e4220a0b464d8ef8559c996af3b2e,False,2539,1774,765,726,726,13462,7318,6144,1268,2032,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
