state_id,instance,V,v0_lp_valid,f0_lp_valid,v0_lp_objective,f0_lp_objective,objective_difference_f0_minus_v0,v0_work,f0_work,v0_solver_time,f0_solver_time,v0_simplex_iterations,f0_simplex_iterations,v0_presolved_rows,f0_presolved_rows,v0_presolved_columns,f0_presolved_columns,v0_presolved_nonzeros,f0_presolved_nonzeros,pass
D12,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,0.051828010205628196,0.051828010205628126,-6.938893903907228e-17,0.421160268761666,0.12247836379573888,0.12999987602233887,0.04900002479553223,941,1444,1305,3475,16944,1341,163906,15192,True
D13,high_imbalance_seed3201,20,True,True,2.266258441484437,2.266258441484437,0.0,0.673935076271633,0.673935076271633,0.2630000114440918,0.24300003051757812,3344,3344,10251,10251,3273,3273,49015,49015,True
D14,moderate_seed3301,20,True,True,0.03318151554899494,0.03318151554899494,0.0,0.39434259560512314,0.39434259560512314,0.14400005340576172,0.14499998092651367,2313,2313,10372,10372,3276,3276,51183,51183,True
C1,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,0.051828010205628154,0.05182801020562817,1.3877787807814457e-17,0.4056676765033215,0.15126308740552333,0.125,0.05800008773803711,932,1720,1305,3464,17001,1333,163932,15197,True
C2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,True,True,0.36579459779793017,0.3657945977979301,-5.551115123125783e-17,0.39844425210851564,0.11343159757867605,0.12599992752075195,0.046000003814697266,840,1289,1336,3610,17139,1342,164339,15594,True
C3,tight_T_seed3101,20,True,True,0.0016923772850397315,0.0016923772850397315,0.0,0.7861069066335477,0.7861069066335477,0.2739999294281006,0.28099989891052246,3915,3915,9792,9792,3276,3276,48213,48213,True
C4,high_imbalance_seed3202,20,True,True,1.5823276849906989,1.5823276849906989,0.0,0.5441498707103404,0.5441498707103404,0.19499993324279785,0.20099997520446777,3123,3123,9749,9749,3271,3271,47559,47559,True
C5,moderate_seed3302,20,True,True,0.09872587083631805,0.09872587083631805,0.0,1.2213697554960592,1.2213697554960592,0.4330000877380371,0.46700000762939453,5395,5395,10265,10265,3273,3273,51392,51392,True
C6,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,10,True,True,0.5026571225758326,0.5026571225758327,1.1102230246251565e-16,0.03644913777820305,0.01165170350298535,0.015000104904174805,0.00800013542175293,365,423,2102,1085,457,457,14495,4267,True
C7,round39_small_hard_V12_M1_Q20_slot05_seed180890838,12,True,True,0.4459753098328249,0.44597530983282496,5.551115123125783e-17,0.15733209655388422,0.02021663105555398,0.04999995231628418,0.011999845504760742,602,632,5631,1540,606,606,55603,6459,True
C8,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,10,True,True,0.04948831687771692,0.04948831687771692,0.0,0.04024353300966146,0.013438154763246082,0.015000104904174805,0.0070002079010009766,367,457,2136,1118,454,454,14848,4618,True
C9,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,8,True,True,0.007186509571167966,0.007186509571167966,0.0,0.032564322017481426,0.012841168508315305,0.014000177383422852,0.0070002079010009766,316,279,2329,1588,684,684,12903,6825,True
