selected_for_summary,row_certificate_source_class,certified_original_problem,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_diagnostic_only,paper_certificate_contamination,file
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b2_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b3_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b4_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b5_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b6_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b7_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b8_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b9_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b10_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b11_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b12_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b13_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b14_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b15_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_new_combined_paper_safe_1200s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_new_combined_paper_safe_1200s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_new_combined_paper_safe_1200s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_new_combined_paper_safe_1200s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_new_combined_paper_safe_3600s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_new_combined_paper_safe_3600s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_new_combined_paper_safe_3600s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_new_combined_paper_safe_3600s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\adaptive_open_d2_n2_0_0_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\adaptive_open_d2_n2_0_1_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\adaptive_open_d1_n2_1_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_new_combined_paper_safe_300s.json
