sequence,run_order,run_id,start_time,end_time
38,38,official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,2026-07-15T08:57:24+08:00,2026-07-15T09:02:40+08:00
39,39,official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,2026-07-15T09:02:41+08:00,2026-07-15T09:07:35+08:00
40,40,official__tight_T_seed3102__tailored_global_gini_tree__300s,2026-07-15T09:07:35+08:00,2026-07-15T09:12:35+08:00
41,41,official__V12_M1__plain_cplex__900s,2026-07-15T09:13:36+08:00,2026-07-15T09:16:41+08:00
42,42,official__V12_M1__tailored_legacy_scheduler_static__900s,2026-07-15T09:16:41+08:00,2026-07-15T09:31:42+08:00
43,43,official__V12_M1__tailored_controlling_scheduler_static__900s,2026-07-15T09:31:42+08:00,2026-07-15T09:33:32+08:00
44,44,official__V12_M1__tailored_global_gini_tree__900s,2026-07-15T09:33:32+08:00,2026-07-15T09:35:54+08:00
45,45,official__V12_M2__plain_cplex__900s,2026-07-15T09:35:55+08:00,2026-07-15T09:50:55+08:00
46,46,official__V12_M2__tailored_legacy_scheduler_static__900s,2026-07-15T09:50:55+08:00,2026-07-15T09:55:47+08:00
47,47,official__V12_M2__tailored_controlling_scheduler_static__900s,2026-07-15T09:55:47+08:00,2026-07-15T10:09:55+08:00
48,48,official__V12_M2__tailored_global_gini_tree__900s,2026-07-15T10:09:56+08:00,2026-07-15T10:22:15+08:00
49,49,official__tight_T_seed3101__plain_cplex__900s,2026-07-15T10:22:16+08:00,2026-07-15T10:37:16+08:00
50,50,official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,2026-07-15T10:37:16+08:00,2026-07-15T10:40:24+08:00
51,51,official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,2026-07-15T10:40:25+08:00,2026-07-15T10:55:07+08:00
52,52,official__tight_T_seed3101__tailored_global_gini_tree__900s,2026-07-15T10:55:07+08:00,2026-07-15T11:10:08+08:00
53,53,official__high_imbalance_seed3202__plain_cplex__900s,2026-07-15T11:10:08+08:00,2026-07-15T11:25:08+08:00
54,54,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,2026-07-15T11:25:09+08:00,2026-07-15T11:30:04+08:00
55,55,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,2026-07-15T11:30:04+08:00,2026-07-15T11:44:47+08:00
56,56,official__high_imbalance_seed3202__tailored_global_gini_tree__900s,2026-07-15T11:44:47+08:00,2026-07-15T11:59:47+08:00
57,57,official__moderate_seed3301__plain_cplex__900s,2026-07-15T11:59:48+08:00,2026-07-15T12:14:50+08:00
58,58,official__moderate_seed3301__tailored_legacy_scheduler_static__900s,2026-07-15T12:34:36+08:00,2026-07-15T12:49:56+08:00
59,59,official__moderate_seed3301__tailored_controlling_scheduler_static__900s,2026-07-15T12:49:56+08:00,2026-07-15T13:04:38+08:00
60,60,official__moderate_seed3301__tailored_global_gini_tree__900s,2026-07-15T13:04:39+08:00,2026-07-15T13:19:39+08:00
61,61,official__moderate_seed3302__plain_cplex__900s,2026-07-15T13:19:40+08:00,2026-07-15T13:34:41+08:00
62,62,official__moderate_seed3302__tailored_legacy_scheduler_static__900s,2026-07-15T13:34:41+08:00,2026-07-15T13:50:01+08:00
63,63,official__moderate_seed3302__tailored_controlling_scheduler_static__900s,2026-07-15T13:50:02+08:00,2026-07-15T14:04:44+08:00
64,64,official__moderate_seed3302__tailored_global_gini_tree__900s,2026-07-15T14:04:44+08:00,2026-07-15T14:19:44+08:00
65,65,official__high_imbalance_seed3201__plain_cplex__900s,2026-07-15T14:19:45+08:00,2026-07-15T14:34:45+08:00
66,66,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,2026-07-15T14:34:45+08:00,2026-07-15T14:50:08+08:00
67,67,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,2026-07-15T14:50:08+08:00,2026-07-15T15:04:50+08:00
68,68,official__high_imbalance_seed3201__tailored_global_gini_tree__900s,2026-07-15T15:04:51+08:00,2026-07-15T15:19:52+08:00
69,69,official__tight_T_seed3102__plain_cplex__900s,2026-07-15T15:19:52+08:00,2026-07-15T15:34:52+08:00
70,70,official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,2026-07-15T15:34:53+08:00,2026-07-15T15:50:13+08:00
71,71,official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,2026-07-15T15:50:13+08:00,2026-07-15T16:04:55+08:00
72,72,official__tight_T_seed3102__tailored_global_gini_tree__900s,2026-07-15T16:04:56+08:00,2026-07-15T16:19:56+08:00
