"run","instance","ledger"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=7, range=[0.187703,0.209033], status=bound_fathomed, interval_lb=0.375406, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=8, range=[0.209033,0.230364], status=bound_fathomed, interval_lb=0.375406, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=9, range=[0.230364,0.2534], status=unresolved, interval_lb=0.333561, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=10, range=[0.2534,0.276436], status=unresolved, interval_lb=0.330637, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=gamma_floor, lb_sources=gamma_floor, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=0, range=[0,0.194836], status=bound_fathomed, interval_lb=0.779342, cheap_prepass_lb=0.065587, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=1, range=[0.194836,0.389671], status=bound_fathomed, interval_lb=0.779342, cheap_prepass_lb=0.225907, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=3, range=[0.584507,0.779342], status=bound_fathomed, interval_lb=0.719065, cheap_prepass_lb=0.615578, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=5, range=[0.489218,0.512514], status=unresolved, interval_lb=0.712948, cheap_prepass_lb=0.420742, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|imported_focus_interval_bound|imported_focus_interval_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=6, range=[0.512514,0.584507], status=bound_fathomed, interval_lb=0.719065, cheap_prepass_lb=0.420742, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|import_split_inherited_parent_lb|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=7, range=[0.389671,0.439445], status=bound_fathomed, interval_lb=0.719065, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_full_import_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=8, range=[0.439445,0.489218], status=unresolved, interval_lb=0.657496, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
